rank,feature,role,availability_tier,source,built_from,dtype,coverage_2020_pct,year_variance_share,r_raw,r_within_district_season,inner_val_perm_r2_2019,holdout_perm_r2_2020,cleared_inner_val
1,district,condition,ex_ante,raw,,object,100.0,,,,0.11126,0.077058,True
2,gdd10_feb,condition,ex_ante,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,100.0,0.0926,-0.299661,-0.053069,0.025441,0.000211,True
3,n_kg_ph,lever,ex_ante,aggregate,dap_kg_ph_winsorized|urea_kg_ph_winsorized|can_kg_ph_winsorized|npk_kg_ph_winsorized,float64,98.5,0.0384,0.214299,0.172826,0.015087,0.013075,True
4,seed_type,lever,ex_ante,raw,,object,98.5,,,,0.011752,0.012549,True
5,tmean_c_feb,condition,ex_ante,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,100.0,0.1535,-0.268673,-0.052397,0.010404,1.9e-05,True
6,plot_acres,condition,ex_ante,raw,,float64,100.0,0.0018,0.093341,0.048968,0.009552,0.001558,True
7,seed_type_clean,lever,ex_ante,raw,,object,98.5,,,,0.008416,-0.000573,True
8,tmin_c_feb,condition,ex_ante,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,100.0,0.0221,-0.324436,-0.060952,0.005204,-0.001247,True
9,total_nutrient_kg_ph,lever,ex_ante,aggregate,n_kg_ph|p2o5_kg_ph|k2o_kg_ph,float64,98.5,0.0085,0.222151,0.168899,0.003751,0.000514,True
10,hybrid_seed_share,lever,ex_ante,derived,hybridseed_kg_ph|localseed_kg_ph,float64,97.6,0.0062,0.271423,0.20519,0.002937,-0.000206,True
11,plot_hectares,condition,ex_ante,raw,,float64,100.0,0.0018,0.093341,0.048968,0.002708,-9.6e-05,True
12,dap_kg_ph,lever,ex_ante,raw,,float64,98.5,0.0009,0.041803,0.031918,0.002594,0.001405,True
13,seed_category,lever,ex_ante,raw,,object,98.5,,,,0.002438,0.0,True
14,gdd10_season_normal,condition,ex_ante,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,100.0,0.0065,-0.320681,-0.055881,0.002409,0.002362,True
15,hybridseed_kg_ph,lever,ex_ante,raw,,float64,98.5,0.0018,0.035643,0.024819,0.00159,0.001349,True
16,can_kg_ph,lever,ex_ante,raw,,float64,98.5,0.0797,0.159412,0.137765,0.001478,0.004489,True
17,seed_type_primary,lever,ex_ante,raw,,object,98.5,,,,0.001471,-0.000411,True
18,rain_mm_preseason_normal,condition,ex_ante,external,UCSB-CHG/CHIRPS/DAILY,float64,100.0,0.009,-0.235663,-0.002886,0.00134,-0.000277,True
19,tmean_c_season_normal,condition,ex_ante,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,100.0,0.0064,-0.317953,-0.056834,0.000985,-0.000603,True
20,dap_kg_ph_winsorized,lever,ex_ante,raw,,float64,98.5,0.0045,0.205255,0.149071,0.000779,1.9e-05,True
21,tmin_c_jan,condition,ex_ante,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,100.0,0.044,-0.309532,-0.060766,0.000763,0.001796,True
22,rain_mm_season_normal,condition,ex_ante,external,UCSB-CHG/CHIRPS/DAILY,float64,100.0,0.0213,0.060528,0.040372,0.000754,0.000948,True
23,can_kg_ph_winsorized,lever,ex_ante,raw,,float64,98.5,0.0987,0.178805,0.159726,0.000734,0.000223,True
24,cows,condition,ex_ante,raw,,float64,97.3,0.0075,0.085387,0.085065,0.000719,0.000799,True
25,localseed_kg_ph,lever,ex_ante,raw,,float64,98.5,0.0001,-0.049397,-0.035167,0.000684,-1.5e-05,True
26,owns_cows,condition,ex_ante,raw,,boolean,97.3,0.0019,0.098784,0.079974,0.000318,0.000186,True
27,comp_wb_pa,lever,ex_ante,raw,,float64,98.9,0.0056,0.014825,0.036525,0.000143,0.002379,True
28,intercrop_is_legume,lever,ex_ante,derived,intercrop_type,boolean,60.4,0.0111,0.114767,0.062582,2.8e-05,0.0,True
29,hh_num_under18,condition,ex_ante,raw,,float64,100.0,0.0038,0.029703,0.030531,4e-06,0.000104,True
30,urea_kg_ph_flagged_outlier,flag,ex_ante,flag,,boolean,100.0,0.0002,0.011697,0.007254,0.0,0.0,False
31,uses_hybrid_seed_is_missing,flag,ex_ante,flag,,bool,100.0,0.0113,-0.0162,-0.022052,0.0,0.0,False
32,owns_oxen,condition,ex_ante,raw,,boolean,100.0,0.0727,-0.002186,0.025015,0.0,0.0,False
33,owns_electricity,condition,ex_ante,raw,,boolean,97.3,0.0312,0.065639,0.032828,0.0,-0.000575,False
34,dap_kg_ph_flagged_outlier,flag,ex_ante,flag,,boolean,100.0,0.0024,0.007695,0.002195,0.0,0.0,False
35,topdress_applied,lever,ex_ante,derived,can_kg_ph_winsorized,boolean,98.5,0.1573,0.157622,0.169216,0.0,0.0,False
36,p2o5_kg_ph,lever,ex_ante,aggregate,dap_kg_ph_winsorized|npk_kg_ph_winsorized,float64,98.5,0.0047,0.205366,0.148978,0.0,-1.5e-05,False
37,npk_kg_ph,lever,ex_ante,raw,,float64,98.5,0.0028,-0.000468,-0.006169,0.0,0.0,False
38,lime_kg_ph_winsorized,lever,ex_ante,raw,,float64,97.8,0.0211,0.016599,0.039834,0.0,0.0,False
39,intercrop,lever,ex_ante,raw,,boolean,98.5,0.0132,0.024475,0.003684,0.0,4.7e-05,False
40,compost_applied,lever,ex_ante,derived,comp_wb_pa_winsorized,boolean,98.9,0.0653,0.028824,0.091467,0.0,0.0,False
41,k2o_kg_ph,lever,ex_ante,aggregate,npk_kg_ph_winsorized,float64,98.5,0.0028,-0.000468,-0.006169,0.0,0.0,False
42,npk_kg_ph_winsorized,lever,ex_ante,raw,,float64,98.5,0.0028,-0.000468,-0.006169,0.0,0.0,False
43,can_kg_ph_flagged_outlier,flag,ex_ante,flag,,boolean,100.0,0.0027,0.010421,0.000157,0.0,0.0,False
44,field_gps_flagged_invalid,flag,ex_ante,flag,,boolean,100.0,0.0001,-0.007096,-0.009256,0.0,0.0,False
45,comp_wb_pa_flagged_outlier,flag,ex_ante,flag,,boolean,100.0,0.0024,0.007448,0.018908,0.0,0.0,False
46,weather_location_is_field,flag,ex_ante,external,weather_locations.py fallback ladder,boolean,100.0,0.028,0.060487,0.041658,0.0,0.0,False
47,n_kg_ph_is_missing,flag,ex_ante,flag,,bool,100.0,0.0113,-0.0162,-0.022052,0.0,0.0,False
48,plot_acres_flagged_outlier,flag,ex_ante,flag,,boolean,100.0,0.0004,0.009132,-0.000209,0.0,0.0,False
49,intercrop_type,lever,ex_ante,raw,,object,60.4,,,,0.0,1e-06,False
50,compost_wb_ph,lever,ex_ante,derived,comp_wb_pa_winsorized,float64,98.9,0.0275,0.022744,0.077443,0.0,0.000561,False
51,urea_kg_ph_winsorized,lever,ex_ante,raw,,float64,98.5,0.0204,0.023375,0.013248,0.0,0.0,False
52,urea_kg_ph,lever,ex_ante,raw,,float64,98.5,0.0182,0.023794,0.014058,0.0,0.0,False
53,uses_hybrid_seed,lever,ex_ante,derived,hybridseed_kg_ph,boolean,98.5,0.0234,0.23511,0.188794,0.0,0.0,False
54,seed_type_is_mixed,lever,ex_ante,raw,,boolean,100.0,0.0364,-0.011176,-0.009128,0.0,0.0,False
55,slope_is_missing,flag,ex_ante,flag,,boolean,100.0,0.0613,-0.015249,-0.01166,-2.7e-05,0.0,False
56,electricity,condition,ex_ante,raw,,boolean,97.3,0.0312,0.065639,0.032828,-4.9e-05,-0.001502,False
57,comp_quality_is_missing,flag,ex_ante,flag,,boolean,100.0,0.0422,-0.036949,-0.06769,-8.9e-05,-0.000164,False
58,lime_kg_ph,lever,ex_ante,raw,,float64,97.8,0.0158,0.014786,0.036409,-9.5e-05,0.0,False
59,hh_num,condition,ex_ante,raw,,float64,100.0,0.0011,0.050854,0.04671,-0.000135,-6.9e-05,False
60,comp_wb_pa_winsorized,lever,ex_ante,raw,,float64,98.9,0.0275,0.022744,0.077443,-0.000246,0.001659,False
61,compost,lever,ex_ante,raw,,boolean,99.2,0.0053,-0.013284,0.07237,-0.000715,0.000461,False
62,wealth_index,condition,ex_ante,aggregate,owns_cows|owns_chickens|owns_goats|owns_bikes|owns_oxen|owns_electricity|owns_radio,float64,100.0,0.0,0.053298,0.077453,-0.001297,0.001267,False
63,gdd10_jan,condition,ex_ante,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,100.0,0.1355,-0.24995,-0.053117,-0.002306,0.002301,False
64,rain_days_season_normal,condition,ex_ante,external,UCSB-CHG/CHIRPS/DAILY,float64,100.0,0.0273,-0.180823,-0.013016,-0.005596,-0.000181,False
65,tmean_c_jan,condition,ex_ante,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,100.0,0.1407,-0.233927,-0.053357,-0.006027,0.000823,False
66,plant_date_doy,lever,ex_ante,derived,plant_date,Float64,98.5,0.1286,-0.036849,-0.050187,-0.013436,0.003325,False
