yield_kg_ph,year,is_holdout,cv_group,cv_fold,site,district,plant_date,harvest_date,cows,electricity,hh_num,hh_num_under18,owns_cows,owns_electricity,owns_oxen,plot_acres,plot_hectares,wealth_index,can_kg_ph_flagged_outlier,comp_quality_is_missing,comp_wb_pa_flagged_outlier,dap_kg_ph_flagged_outlier,fertility_is_missing,field_gps_flagged_invalid,growing_season_days_flagged,n_kg_ph_is_missing,pest_disease_is_missing,plant_date_doy_is_missing,plot_acres_flagged_outlier,slope_angle_num_is_missing,slope_is_missing,urea_kg_ph_flagged_outlier,uses_hybrid_seed_is_missing,basal_n_share,can_kg_ph,can_kg_ph_winsorized,comp_wb_pa,comp_wb_pa_winsorized,compost_applied,compost_wb_ph,dap_kg_ph,dap_kg_ph_winsorized,hybrid_seed_share,hybridseed_kg_ph,intercrop,intercrop_is_legume,intercrop_type,k2o_kg_ph,lime_kg_ph,lime_kg_ph_winsorized,localseed_kg_ph,n_kg_ph,npk_kg_ph,npk_kg_ph_winsorized,p2o5_kg_ph,plant_date_doy,seed_category,seed_type,seed_type_clean,seed_type_is_mixed,seed_type_primary,topdress_applied,total_nutrient_kg_ph,urea_kg_ph,urea_kg_ph_winsorized,uses_hybrid_seed,drought,chickens,fertility,fertility_ordinal,goats,growing_season_days,hh_num_under5,owns_chickens,owns_goats,weed,FAW,flood,pest_disease
3225.3704,2017,False,Lemook,2,Lemook,kabiyet,2017-03-28,2017-10-13,1.0,,4.0,2.0,True,,False,1.0,0.404686003923416,1.5051934708448016,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,0.40909090909090906,123.5525,123.5525,0.0,0.0,False,0.0,123.5525,123.5525,1.0,24.710501,False,,,0.0,0.0,0.0,0.0,54.363099999999996,0.0,0.0,56.83415,87.0,hybrid_branded,h_614d,h_614d,False,h_614d,True,111.19725,0.0,0.0,True,True,10.0,same,0.0,1.0,199.0,,True,True,1.0,True,False,True
2406.0225,2017,False,Konyango Kachwanya,4,Konyango Kachwanya,rongo,,,3.0,,9.0,6.0,True,,False,0.5,0.202343001961708,0.23828605228518726,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,0.40909090909090906,123.5525,123.5525,0.0,0.0,False,0.0,123.5525,123.5525,0.0,0.0,True,True,beans,0.0,0.0,0.0,49.421001,54.363099999999996,0.0,0.0,56.83415,,local,local,local,False,local,True,111.19725,0.0,0.0,False,False,8.0,same,0.0,0.0,,,True,False,2.0,,False,True
715.30396,2017,False,Onyinyore,2,Onyinyore,gem,,,3.0,,2.0,0.0,True,,False,1.0,0.404686003923416,1.5051934708448016,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,True,beans,0.0,0.0,0.0,19.7684,0.0,0.0,0.0,0.0,,local,local,local,False,local,False,0.0,0.0,0.0,False,False,7.0,same,0.0,2.0,,,True,True,1.0,True,False,True
4812.0449,2017,False,Eshihenjera,1,Eshihenjera,butere,,,1.0,,4.0,1.0,True,,False,0.25,0.101171500980854,-1.3355338948614355,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,0.4090909090909091,49.421001,49.421001,0.0,0.0,False,0.0,49.421001,49.421001,0.0,0.0,True,True,beans,0.0,0.0,0.0,29.652599,21.745240439999996,0.0,0.0,22.73366046,,local,local,local,False,local,True,44.4789009,0.0,0.0,False,False,0.0,same,0.0,0.0,,,False,False,1.0,True,False,True
2458.0444,2017,False,Chango,3,Chango,vihiga,,,2.0,,6.0,4.0,True,,False,0.25,0.101171500980854,0.23828605228518726,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,0.40909090909090906,59.305199,59.305199,0.0,0.0,False,0.0,59.305199,59.305199,,0.0,True,True,beans,0.0,0.0,0.0,0.0,26.09428756,0.0,0.0,27.280391540000004,,other_hybrid,other_hybrid,other_hybrid,False,other_hybrid,True,53.37467910000001,0.0,0.0,False,False,11.0,same,0.0,0.0,,,True,False,2.0,True,False,True
5592.3765,2017,False,Kamasielo,2,Kamasielo,kimilili,,,6.0,,7.0,5.0,True,,False,2.5,1.01171505451202,0.23828605228518726,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,1.0,0.0,0.0,0.0,0.0,False,0.0,9.8842001,9.8842001,0.4186046309859297,5.6932988,True,True,beans,0.0,0.0,0.0,7.9073601,1.779156018,0.0,0.0,4.546732046,,hybrid_branded,h_6213,h_6213,False,h_6213,False,6.325888064,0.0,0.0,True,False,3.0,same,0.0,0.0,,,True,False,2.0,True,False,True
4285.3208,2017,False,Musakasa,4,Musakasa,chwele,,,6.0,,8.0,4.0,True,,False,1.0,0.404686003923416,0.23828605228518726,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,0.40909090909090906,123.5525,123.5525,0.0,0.0,False,0.0,123.5525,123.5525,1.0,44.478901,True,True,beans,0.0,0.0,0.0,0.0,54.363099999999996,0.0,0.0,56.83415,,other_hybrid,other_hybrid,other_hybrid,False,other_hybrid,True,111.19725,0.0,0.0,True,False,4.0,better,1.0,0.0,,,True,False,2.0,True,False,True
1007.9283,2017,False,Kajimbo,2,Kajimbo,kabondo,2017-02-20,2017-07-21,2.0,,7.0,3.0,True,,False,1.5,0.607029020786285,1.5051934708448016,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,0.409090909090909,41.184166,41.184166,0.0,0.0,False,0.0,41.184166,41.184166,1.0,16.473667,True,True,beans,0.0,0.0,0.0,0.0,18.12103304,0.0,0.0,18.94471636,51.0,hybrid_branded,pan_691,pan_691,False,pan_691,True,37.0657494,0.0,0.0,True,False,10.0,same,0.0,1.0,151.0,,True,True,2.0,True,False,True
2965.26,2017,False,MWABOSIRE,0,MWABOSIRE,kisii,,2017-07-20,2.0,,6.0,1.0,True,,False,0.5,0.202343001961708,1.5051934708448016,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,0.5094339572073735,49.421001,49.421001,0.0,0.0,False,0.0,74.1315,74.1315,1.0,35.583118,True,True,beans,0.0,0.0,0.0,0.0,26.193130259999997,0.0,0.0,34.10049,,hybrid_branded,h_6213,h_6213,False,h_6213,True,60.29362026,0.0,0.0,True,False,10.0,same,0.0,2.0,,,True,True,1.0,True,False,True
3648.05,2017,False,Endebess,4,Endebess,ndalu,,,0.0,,9.0,5.0,False,,False,0.5,0.202343001961708,-0.9519553830121535,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.2857142857142857,15.81472,True,True,beans,0.0,0.0,0.0,39.5368,0.0,0.0,0.0,0.0,,hybrid_branded,h_614d,h_614d,False,h_614d,False,0.0,0.0,0.0,True,,8.0,,,0.0,,,True,False,0.0,,,False
