location_key,year,month,rain_mm,rain_days,tmean_c,tmax_c,tmin_c,gdd10
+00.0250_+034.1250,2015,1,8.728637933731079,2,23.103723267585963,28.072582909368748,18.976246298513104,418.91017150878974
+00.0250_+034.1250,2015,2,31.048951029777527,5,23.88528077261793,29.17402856009352,19.55934132167272,396.8509231567388
+00.0250_+034.1250,2015,3,103.89370012283324,11,24.01550652698808,29.283972266412547,19.82146508001512,433.7563186645513
+00.0250_+034.1250,2015,4,280.1107451915741,25,21.45689436594654,24.949435933431005,18.64756571451824,353.95502471923896
+00.0250_+034.1250,2015,5,234.97936153411865,24,21.68288379382068,25.46665098128784,18.663980594758076,374.0247894287117
+00.0250_+034.1250,2015,6,150.60208368301392,14,21.400132815043207,25.178804524739636,18.490879821777355,355.0452651977546
+00.0250_+034.1250,2015,7,42.07338047027588,7,21.639057721373945,25.568368038054476,18.20549779092113,368.4949203491218
+00.0250_+034.1250,2015,8,26.336498260498047,2,22.265280988139462,26.60207667196954,18.36490980579009,386.9882904052741
+00.0250_+034.1250,2015,9,115.23508024215698,10,22.70252376132544,27.01039021809896,19.169101969401083,392.6923828125007
+00.0250_+034.1250,2015,10,273.0245897769928,23,22.132828177175213,26.004418453093532,19.089085535849332,388.949311828614
+00.0250_+034.1250,2015,11,298.6802730560303,25,21.23294654422341,24.828465779622437,18.479828898111972,349.6244201660163
+00.0250_+034.1250,2015,12,130.7084345817566,13,21.608015478810955,25.374528257308494,18.52600077967492,370.4582000732429
+00.0250_+034.1250,2016,1,82.3661060333252,15,22.72268365839483,26.59430404170871,19.583287196005585,405.752664184571
+00.0250_+034.1250,2016,2,20.73041296005249,3,24.101006751224983,28.827117604222792,20.20553609913793,418.7483535766608
+00.0250_+034.1250,2016,3,65.88613963127136,9,24.33072228380428,28.872413684475816,20.377194607642423,449.2956893920904
+00.0250_+034.1250,2016,4,347.49194288253784,27,22.229722807142423,25.34663035074874,19.63460286458337,374.7184982299812
+00.0250_+034.1250,2016,5,202.08118152618408,15,21.970320330384027,25.68410546087449,19.035101909022217,383.1477142333992
+00.0250_+034.1250,2016,6,68.75598192214966,9,21.47077647315132,25.173130289713583,18.248782348632854,351.328689575196
+00.0250_+034.1250,2016,7,35.6225061416626,3,21.36138418464259,25.099487600018904,17.94072285313763,357.1232620239265
