location_key,cell_lat,cell_lon,n_rows,n_districts,first_year,last_year
+00.0250_+034.1250,0.025,34.125,14,1,2018,2018
+00.0250_+034.1750,0.025,34.175,3,1,2020,2020
+00.0250_+034.2250,0.025,34.225,10,1,2016,2018
+00.0250_+034.2750,0.025,34.275,23,1,2017,2018
+00.0250_+034.3250,0.025,34.325,82,1,2017,2020
+00.0250_+034.3750,0.025,34.375,56,1,2016,2020
+00.0250_+034.4250,0.025,34.425,86,2,2016,2020
+00.0250_+034.4750,0.025,34.475,49,2,2016,2020
+00.0250_+034.5250,0.025,34.525,8,3,2016,2019
+00.0250_+034.5750,0.025,34.575,42,2,2016,2020
+00.0250_+034.6250,0.025,34.625,60,2,2016,2020
+00.0250_+034.6750,0.025,34.675,62,2,2017,2020
+00.0250_+034.7250,0.025,34.725,70,1,2016,2020
+00.0250_+034.7750,0.025,34.775,43,3,2016,2020
+00.0250_+034.8250,0.025,34.825,90,2,2016,2020
+00.0250_+034.8750,0.025,34.875,32,3,2017,2020
+00.0250_+034.9250,0.025,34.925,15,3,2016,2020
+00.0250_+034.9750,0.025,34.975,27,2,2016,2020
+00.0250_+035.0250,0.025,35.025,29,2,2017,2020
+00.0250_+035.0750,0.025,35.075,24,1,2018,2020
+00.0250_+035.1750,0.025,35.175,12,1,2017,2020
+00.0250_+035.2250,0.025,35.225,12,1,2018,2018
+00.0250_+035.2750,0.025,35.275,7,1,2018,2020
+00.0250_+035.3250,0.025,35.325,52,1,2016,2020
+00.0250_+035.3750,0.025,35.375,29,1,2016,2020
+00.0250_+035.4250,0.025,35.425,4,1,2016,2019
+00.0250_+037.6250,0.025,37.625,1,1,2020,2020
+00.0250_+037.6750,0.025,37.675,1,1,2020,2020
+00.0750_+034.0250,0.075,34.025,7,1,2018,2018
+00.0750_+034.1250,0.075,34.125,3,1,2017,2017
+00.0750_+034.1750,0.075,34.175,10,1,2016,2020
+00.0750_+034.2250,0.075,34.225,12,1,2018,2020
+00.0750_+034.2750,0.075,34.275,25,1,2018,2020
+00.0750_+034.3250,0.075,34.325,32,1,2016,2020
+00.0750_+034.3750,0.075,34.375,35,3,2016,2020
+00.0750_+034.4250,0.075,34.425,58,2,2016,2020
+00.0750_+034.4750,0.075,34.475,79,2,2016,2020
+00.0750_+034.5250,0.075,34.525,58,3,2016,2020
+00.0750_+034.5750,0.075,34.575,66,3,2016,2020
+00.0750_+034.6250,0.075,34.625,83,2,2016,2020
+00.0750_+034.6750,0.075,34.675,116,4,2016,2020
+00.0750_+034.7250,0.075,34.725,94,3,2016,2020
+00.0750_+034.7750,0.075,34.775,82,3,2017,2020
+00.0750_+034.8250,0.075,34.825,52,3,2017,2020
+00.0750_+034.8750,0.075,34.875,17,2,2017,2020
+00.0750_+034.9250,0.075,34.925,7,1,2019,2020
+00.0750_+034.9750,0.075,34.975,7,2,2017,2020
+00.0750_+035.0250,0.075,35.025,8,1,2018,2020
+00.0750_+035.0750,0.075,35.075,8,2,2018,2020
+00.0750_+035.1250,0.075,35.125,1,1,2020,2020
+00.0750_+035.1750,0.075,35.175,15,1,2018,2020
+00.0750_+035.2750,0.075,35.275,2,1,2020,2020
+00.0750_+035.5750,0.075,35.575,1,1,2017,2017
+00.0750_+037.4750,0.075,37.475,4,1,2020,2020
+00.0750_+037.5250,0.075,37.525,2,1,2020,2020
+00.0750_+037.5750,0.075,37.575,5,1,2020,2020
+00.0750_+037.6250,0.075,37.625,2,1,2020,2020
+00.0750_+037.6750,0.075,37.675,1,1,2020,2020
+00.1250_+033.9750,0.125,33.975,1,1,2018,2018
+00.1250_+034.0250,0.125,34.025,4,1,2018,2018
+00.1250_+034.0750,0.125,34.075,11,2,2016,2020
+00.1250_+034.1250,0.125,34.125,25,2,2016,2020
+00.1250_+034.1750,0.125,34.175,22,1,2016,2020
+00.1250_+034.2250,0.125,34.225,14,1,2016,2020
+00.1250_+034.2750,0.125,34.275,24,2,2017,2020
+00.1250_+034.3250,0.125,34.325,76,2,2016,2020
+00.1250_+034.3750,0.125,34.375,57,2,2016,2020
+00.1250_+034.4250,0.125,34.425,80,2,2016,2020
+00.1250_+034.4750,0.125,34.475,150,1,2016,2020
+00.1250_+034.5250,0.125,34.525,94,1,2016,2020
+00.1250_+034.5750,0.125,34.575,96,3,2016,2020
+00.1250_+034.6250,0.125,34.625,70,2,2016,2020
+00.1250_+034.6750,0.125,34.675,100,5,2016,2020
+00.1250_+034.7250,0.125,34.725,96,4,2016,2020
+00.1250_+034.7750,0.125,34.775,89,4,2016,2020
+00.1250_+034.8250,0.125,34.825,56,3,2016,2020
+00.1250_+034.8750,0.125,34.875,66,3,2016,2020
